PERSON_ID,PLAYER_NAME,SEASON,ROUND_NUMBER,ROUND_PICK,OVERALL_PICK,DRAFT_TYPE,TEAM_ID_x,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION_x,ORGANIZATION,ORGANIZATION_TYPE,PLAYER_PROFILE_FLAG,Draft Year,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID_y,TEAM_ABBREVIATION_y,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Unique_Teams_Played_For,Traded_Status,Custom_BPM
1629639,Tyler Herro,2019,1,13,13,Draft,1610612748,Miami,Heat,MIA,Kentucky,College/University,1,2019,1629639,2022-23,0,1610612748,MIA,23.0,67,67.0,2335.0,487,1109,0.439,203.0,537.0,0.378,170,182,0.934,27.0,333.0,360.0,280,51.0,16.0,158.0,101,1347,1,Not Traded,23.619283582089555
1631212,Peyton Watson,2022,1,30,30,Draft,1610612760,Oklahoma City,Thunder,OKC,California-Los Angeles,College/University,1,2022,1631212,2023-24,0,1610612743,DEN,21.0,80,4.0,1488.0,208,447,0.465,45.0,152.0,0.296,71,106,0.67,56.0,202.0,258.0,86,42.0,88.0,58.0,143,532,1,Not Traded,10.391012499999999
1629630,Ja Morant,2019,1,2,2,Draft,1610612763,Memphis,Grizzlies,MEM,Murray State,College/University,1,2019,1629630,2022-23,0,1610612763,MEM,23.0,61,59.0,1948.0,566,1214,0.466,92.0,300.0,0.307,372,497,0.748,61.0,296.0,357.0,493,66.0,16.0,206.0,100,1596,1,Not Traded,31.013147540983603
1629639,Tyler Herro,2019,1,13,13,Draft,1610612748,Miami,Heat,MIA,Kentucky,College/University,1,2019,1629639,2020-21,0,1610612748,MIA,21.0,54,15.0,1635.0,307,699,0.439,107.0,297.0,0.36,94,117,0.803,25.0,243.0,268.0,184,35.0,17.0,101.0,71,815,1,Not Traded,18.938388888888888
1629632,Coby White,2019,1,7,7,Draft,1610612741,Chicago,Bulls,CHI,North Carolina,College/University,1,2019,1629632,2024-25,0,1610612741,CHI,25.0,67,66.0,2240.0,463,1037,0.446,203.0,552.0,0.368,241,270,0.893,24.0,221.0,245.0,299,63.0,13.0,156.0,141,1370,1,Not Traded,22.358014925373134
1629632,Coby White,2019,1,7,7,Draft,1610612741,Chicago,Bulls,CHI,North Carolina,College/University,1,2019,1629632,2023-24,0,1610612741,CHI,24.0,79,78.0,2881.0,541,1209,0.447,209.0,556.0,0.376,218,260,0.838,44.0,314.0,358.0,405,53.0,18.0,166.0,186,1509,1,Not Traded,22.263253164556964
1629632,Coby White,2019,1,7,7,Draft,1610612741,Chicago,Bulls,CHI,North Carolina,College/University,1,2019,1629632,2022-23,0,1610612741,CHI,23.0,74,2.0,1730.0,263,594,0.443,128.0,344.0,0.372,61,70,0.871,16.0,196.0,212.0,204,54.0,6.0,74.0,122,715,1,Not Traded,12.310783783783783
1629632,Coby White,2019,1,7,7,Draft,1610612741,Chicago,Bulls,CHI,North Carolina,College/University,1,2019,1629632,2021-22,0,1610612741,CHI,22.0,61,17.0,1675.0,279,644,0.433,136.0,353.0,0.385,78,91,0.857,17.0,165.0,182.0,176,29.0,11.0,70.0,137,772,1,Not Traded,14.500639344262295
1629632,Coby White,2019,1,7,7,Draft,1610612741,Chicago,Bulls,CHI,North Carolina,College/University,1,2019,1629632,2020-21,0,1610612741,CHI,21.0,69,54.0,2156.0,375,902,0.416,163.0,454.0,0.359,128,142,0.901,28.0,256.0,284.0,328,38.0,15.0,156.0,179,1041,1,Not Traded,17.758695652173913
1629632,Coby White,2019,1,7,7,Draft,1610612741,Chicago,Bulls,CHI,North Carolina,College/University,1,2019,1629632,2019-20,0,1610612741,CHI,20.0,65,1.0,1674.0,312,792,0.394,133.0,376.0,0.354,102,129,0.791,28.0,202.0,230.0,175,49.0,6.0,109.0,117,859,1,Not Traded,15.342584615384615
1629636,Darius Garland,2019,1,5,5,Draft,1610612739,Cleveland,Cavaliers,CLE,Vanderbilt,College/University,1,2019,1629636,2024-25,0,1610612739,CLE,25.0,70,70.0,2141.0,516,1096,0.471,199.0,494.0,0.403,214,242,0.884,43.0,158.0,201.0,468,85.0,11.0,178.0,137,1445,1,Not Traded,23.203300000000002
1629636,Darius Garland,2019,1,5,5,Draft,1610612739,Cleveland,Cavaliers,CLE,Vanderbilt,College/University,1,2019,1629636,2023-24,0,1610612739,CLE,24.0,57,57.0,1900.0,375,841,0.446,132.0,356.0,0.371,146,175,0.834,30.0,122.0,152.0,373,74.0,7.0,176.0,95,1028,1,Not Traded,20.324315789473683
1629636,Darius Garland,2019,1,5,5,Draft,1610612739,Cleveland,Cavaliers,CLE,Vanderbilt,College/University,1,2019,1629636,2022-23,0,1610612739,CLE,23.0,69,69.0,2447.0,522,1129,0.462,169.0,412.0,0.41,277,321,0.863,28.0,157.0,185.0,538,85.0,9.0,199.0,148,1490,1,Not Traded,24.066608695652175
1629636,Darius Garland,2019,1,5,5,Draft,1610612739,Cleveland,Cavaliers,CLE,Vanderbilt,College/University,1,2019,1629636,2021-22,0,1610612739,CLE,22.0,68,68.0,2430.0,542,1173,0.462,174.0,454.0,0.383,215,241,0.892,39.0,185.0,224.0,583,89.0,7.0,248.0,115,1473,1,Not Traded,24.68783823529412
1629636,Darius Garland,2019,1,5,5,Draft,1610612739,Cleveland,Cavaliers,CLE,Vanderbilt,College/University,1,2019,1629636,2020-21,0,1610612739,CLE,21.0,54,50.0,1790.0,362,802,0.451,105.0,266.0,0.395,112,132,0.848,23.0,106.0,129.0,329,66.0,6.0,164.0,110,941,1,Not Traded,19.05425925925926
1629636,Darius Garland,2019,1,5,5,Draft,1610612739,Cleveland,Cavaliers,CLE,Vanderbilt,College/University,1,2019,1629636,2019-20,0,1610612739,CLE,20.0,59,59.0,1824.0,280,699,0.401,105.0,296.0,0.355,63,72,0.875,27.0,84.0,111.0,229,42.0,4.0,151.0,92,728,1,Not Traded,12.769118644067797
1629630,Ja Morant,2019,1,2,2,Draft,1610612763,Memphis,Grizzlies,MEM,Murray State,College/University,1,2019,1629630,2024-25,0,1610612763,MEM,25.0,44,44.0,1322.0,338,756,0.447,67.0,232.0,0.289,239,288,0.83,26.0,157.0,183.0,330,54.0,11.0,165.0,98,982,1,Not Traded,25.282204545454547
1629639,Tyler Herro,2019,1,13,13,Draft,1610612748,Miami,Heat,MIA,Kentucky,College/University,1,2019,1629639,2019-20,0,1610612748,MIA,20.0,55,8.0,1508.0,270,631,0.428,116.0,298.0,0.389,87,100,0.87,16.0,208.0,224.0,121,34.0,9.0,87.0,76,743,1,Not Traded,15.997981818181817
1630217,Desmond Bane,2020,1,30,30,Draft,1610612738,Boston,Celtics,BOS,Texas Christian,College/University,1,2020,1630217,2021-22,0,1610612763,MEM,24.0,76,76.0,2266.0,508,1101,0.461,228.0,523.0,0.436,140,155,0.903,46.0,288.0,334.0,208,92.0,29.0,111.0,196,1384,1,Not Traded,21.45230263157895
1630217,Desmond Bane,2020,1,30,30,Draft,1610612738,Boston,Celtics,BOS,Texas Christian,College/University,1,2020,1630217,2022-23,0,1610612763,MEM,25.0,58,58.0,1841.0,450,939,0.479,166.0,407.0,0.408,181,205,0.883,43.0,248.0,291.0,254,56.0,22.0,126.0,150,1247,1,Not Traded,24.829034482758622
1630217,Desmond Bane,2020,1,30,30,Draft,1610612738,Boston,Celtics,BOS,Texas Christian,College/University,1,2020,1630217,2023-24,0,1610612763,MEM,26.0,42,42.0,1443.0,360,776,0.464,137.0,360.0,0.381,140,161,0.87,36.0,149.0,185.0,230,43.0,22.0,112.0,120,997,1,Not Traded,26.473166666666664
1631172,Ousmane Dieng,2022,1,11,11,Draft,1610612752,New York,Knicks,NYK,Breakers (New Zealand),Other Team/Club,1,2022,1631172,2022-23,0,1610612760,OKC,20.0,39,1.0,569.0,76,181,0.42,26.0,98.0,0.265,15,23,0.652,19.0,86.0,105.0,46,14.0,7.0,26.0,42,193,1,Not Traded,7.324025641025641
1631110,Jeremy Sochan,2022,1,9,9,Draft,1610612759,San Antonio,Spurs,SAS,Baylor,College/University,1,2022,1631110,2024-25,0,1610612759,SAS,21.0,54,23.0,1364.0,251,469,0.535,28.0,91.0,0.308,87,125,0.696,127.0,225.0,352.0,128,45.0,27.0,84.0,131,617,1,Not Traded,17.13409259259259
1631110,Jeremy Sochan,2022,1,9,9,Draft,1610612759,San Antonio,Spurs,SAS,Baylor,College/University,1,2022,1631110,2023-24,0,1610612759,SAS,21.0,74,73.0,2193.0,340,776,0.438,70.0,227.0,0.308,111,144,0.771,137.0,339.0,476.0,249,62.0,40.0,140.0,168,861,1,Not Traded,17.597594594594593
1631110,Jeremy Sochan,2022,1,9,9,Draft,1610612759,San Antonio,Spurs,SAS,Baylor,College/University,1,2022,1631110,2022-23,0,1610612759,SAS,20.0,56,53.0,1458.0,250,552,0.453,33.0,134.0,0.246,81,116,0.698,95.0,200.0,295.0,142,43.0,23.0,97.0,138,614,1,Not Traded,15.189892857142857
1631101,Shaedon Sharpe,2022,1,7,7,Draft,1610612757,Portland,Trail Blazers,POR,Kentucky,College/University,1,2022,1631101,2024-25,0,1610612757,POR,21.0,67,47.0,2075.0,449,993,0.452,131.0,425.0,0.308,162,205,0.79,65.0,223.0,288.0,174,54.0,16.0,135.0,113,1191,1,Not Traded,19.95114925373134
1631101,Shaedon Sharpe,2022,1,7,7,Draft,1610612757,Portland,Trail Blazers,POR,Kentucky,College/University,1,2022,1631101,2023-24,0,1610612757,POR,21.0,32,25.0,1059.0,176,434,0.406,60.0,180.0,0.333,98,119,0.824,42.0,118.0,160.0,94,28.0,12.0,72.0,88,510,1,Not Traded,18.927249999999997
1631101,Shaedon Sharpe,2022,1,7,7,Draft,1610612757,Portland,Trail Blazers,POR,Kentucky,College/University,1,2022,1631101,2022-23,0,1610612757,POR,20.0,80,15.0,1779.0,306,648,0.472,102.0,283.0,0.36,75,105,0.714,63.0,173.0,236.0,94,38.0,24.0,83.0,136,789,1,Not Traded,11.537574999999999
1631097,Bennedict Mathurin,2022,1,6,6,Draft,1610612754,Indiana,Pacers,IND,Arizona,College/University,1,2022,1631097,2024-25,0,1610612754,IND,22.0,67,48.0,2014.0,371,796,0.466,95.0,270.0,0.352,245,292,0.839,79.0,281.0,360.0,124,41.0,24.0,127.0,153,1082,1,Not Traded,18.98265671641791
1631097,Bennedict Mathurin,2022,1,6,6,Draft,1610612754,Indiana,Pacers,IND,Arizona,College/University,1,2022,1631097,2023-24,0,1610612754,IND,22.0,59,19.0,1538.0,296,663,0.446,80.0,214.0,0.374,184,224,0.821,60.0,174.0,234.0,119,35.0,14.0,97.0,117,856,1,Not Traded,16.427559322033897
1631097,Bennedict Mathurin,2022,1,6,6,Draft,1610612754,Indiana,Pacers,IND,Arizona,College/University,1,2022,1631097,2022-23,0,1610612754,IND,21.0,78,17.0,2222.0,413,951,0.434,100.0,310.0,0.323,376,454,0.828,87.0,231.0,318.0,116,48.0,13.0,152.0,162,1302,1,Not Traded,17.717705128205132
1631093,Jaden Ivey,2022,1,5,5,Draft,1610612765,Detroit,Pistons,DET,Purdue,College/University,1,2022,1631093,2024-25,0,1610612765,DET,23.0,30,30.0,898.0,190,413,0.46,63.0,154.0,0.409,85,116,0.733,40.0,84.0,124.0,119,28.0,11.0,89.0,67,528,1,Not Traded,19.6548
1631093,Jaden Ivey,2022,1,5,5,Draft,1610612765,Detroit,Pistons,DET,Purdue,College/University,1,2022,1631093,2023-24,0,1610612765,DET,22.0,77,61.0,2218.0,417,973,0.429,124.0,369.0,0.336,227,303,0.749,86.0,178.0,264.0,296,57.0,41.0,190.0,204,1185,1,Not Traded,17.262233766233763
1631093,Jaden Ivey,2022,1,5,5,Draft,1610612765,Detroit,Pistons,DET,Purdue,College/University,1,2022,1631093,2022-23,0,1610612765,DET,21.0,74,73.0,2304.0,409,983,0.416,120.0,350.0,0.343,266,356,0.747,73.0,215.0,288.0,387,61.0,17.0,237.0,242,1204,1,Not Traded,18.063324324324324
1631172,Ousmane Dieng,2022,1,11,11,Draft,1610612752,New York,Knicks,NYK,Breakers (New Zealand),Other Team/Club,1,2022,1631172,2023-24,0,1610612760,OKC,21.0,33,0.0,365.0,49,116,0.422,21.0,70.0,0.3,14,16,0.875,10.0,41.0,51.0,37,8.0,5.0,19.0,22,133,1,Not Traded,5.395060606060605
1631099,Keegan Murray,2022,1,4,4,Draft,1610612758,Sacramento,Kings,SAC,Iowa,College/University,1,2022,1631099,2024-25,0,1610612758,SAC,24.0,71,71.0,2459.0,344,770,0.447,146.0,419.0,0.348,58,70,0.829,141.0,336.0,477.0,101,55.0,64.0,58.0,180,892,1,Not Traded,18.886633802816903
